City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
336,yuzhno-kurilsk,44.0306,145.8556,286.14,87,3,1.66,RU,1698248944
337,battambang,13.1027,103.1982,298.66,90,100,0.91,KH,1698248944
338,phan rang-thap cham,11.5667,108.9833,297.91,91,38,1.44,VN,1698248945
339,teplice,50.6404,13.8245,286.36,81,90,1.95,CZ,1698248945
340,villa union,23.2,-106.2333,297.88,73,0,1.67,MX,1698248946
341,garbahaarrey,3.3289,42.2209,304.54,50,100,5.06,SO,1698248947
342,pathein,16.7833,94.7333,297.95,93,99,2.38,MM,1698248947
343,tual,-5.6667,132.75,300.11,78,59,6.19,ID,1698248948
344,dolinsk,47.35,142.8,284.11,95,100,1.88,RU,1698248948
345,dudinka,69.4058,86.1778,264.64,96,100,1.34,RU,1698248949
346,qianzhou,28.3167,109.7167,292.09,98,100,1.04,CN,1698248950
347,souillac,-20.5167,57.5167,299.36,73,40,3.09,MU,1698248950
348,lata,40.1629,-8.3327,292.08,94,100,3.28,PT,1698248951
349,acajutla,13.5928,-89.8275,302.76,66,93,0.77,SV,1698248951
350,richards bay,-28.783,32.0377,293.34,75,0,2.66,ZA,1698248952
351,malakal,9.5334,31.6605,297.88,85,94,3.31,SS,1698248952
352,celestun,20.8667,-90.4,303.19,60,57,4.52,MX,1698248953
353,aswan,24.0934,32.907,310.76,19,0,3.09,EG,1698248953
354,avanigadda,16.0215,80.9181,300.34,76,6,0.63,IN,1698248954
355,puerto baquerizo moreno,-0.9,-89.6,297.7,88,100,3.6,EC,1698248955
356,nova xavantina,-14.6667,-52.35,314.55,21,60,1.77,BR,1698248955
357,inirida,3.8653,-67.9239,307.22,50,93,0.76,CO,1698248956
358,guaruja,-23.9931,-46.2564,297.07,94,100,3.58,BR,1698248956
359,hanceville,34.0607,-86.7675,296.49,55,2,4.51,US,1698248957
360,darwin,-12.4611,130.8418,302.14,80,75,2.06,AU,1698248809
361,bambanglipuro,-7.95,110.2833,298.13,89,33,1.55,ID,1698248958
362,wau,7.7029,27.9953,301.61,61,66,1.02,SS,1698248959
